dteday,year,month,weekday,season,weather_description,cnt,registered,casual,temp
2011-01-01,2011,January,Saturday,Spring,Partly Cloudy,985,654,331,0.344167
2011-01-02,2011,January,Sunday,Spring,Partly Cloudy,801,670,131,0.363478
2011-01-03,2011,January,Monday,Spring,Clear,1349,1229,120,0.196364
2011-01-04,2011,January,Tuesday,Spring,Clear,1562,1454,108,0.2
2011-01-05,2011,January,Wednesday,Spring,Clear,1600,1518,82,0.226957
2011-01-06,2011,January,Thursday,Spring,Clear,1606,1518,88,0.204348
2011-01-07,2011,January,Friday,Spring,Partly Cloudy,1510,1362,148,0.196522
2011-01-08,2011,January,Saturday,Spring,Partly Cloudy,959,891,68,0.165
2011-01-09,2011,January,Sunday,Spring,Clear,822,768,54,0.138333
2011-01-10,2011,January,Monday,Spring,Clear,1321,1280,41,0.150833
2011-01-11,2011,January,Tuesday,Spring,Partly Cloudy,1263,1220,43,0.169091
2011-01-12,2011,January,Wednesday,Spring,Clear,1162,1137,25,0.172727
2011-01-13,2011,January,Thursday,Spring,Clear,1406,1368,38,0.165
2011-01-14,2011,January,Friday,Spring,Clear,1421,1367,54,0.16087
2011-01-15,2011,January,Saturday,Spring,Partly Cloudy,1248,1026,222,0.233333
2011-01-16,2011,January,Sunday,Spring,Clear,1204,953,251,0.231667
2011-01-17,2011,January,Monday,Spring,Partly Cloudy,1000,883,117,0.175833
2011-01-18,2011,January,Tuesday,Spring,Partly Cloudy,683,674,9,0.216667
2011-01-19,2011,January,Wednesday,Spring,Partly Cloudy,1650,1572,78,0.292174
2011-01-20,2011,January,Thursday,Spring,Partly Cloudy,1927,1844,83,0.261667
2011-01-21,2011,January,Friday,Spring,Clear,1543,1468,75,0.1775
2011-01-22,2011,January,Saturday,Spring,Clear,981,888,93,0.0591304
2011-01-23,2011,January,Sunday,Spring,Clear,986,836,150,0.0965217
2011-01-24,2011,January,Monday,Spring,Clear,1416,1330,86,0.0973913
2011-01-25,2011,January,Tuesday,Spring,Partly Cloudy,1985,1799,186,0.223478
2011-01-26,2011,January,Wednesday,Spring,Light Snow/Rain,506,472,34,0.2175
2011-01-27,2011,January,Thursday,Spring,Clear,431,416,15,0.195
2011-01-28,2011,January,Friday,Spring,Partly Cloudy,1167,1129,38,0.203478
2011-01-29,2011,January,Saturday,Spring,Clear,1098,975,123,0.196522
2011-01-30,2011,January,Sunday,Spring,Clear,1096,956,140,0.216522
2011-01-31,2011,January,Monday,Spring,Partly Cloudy,1501,1459,42,0.180833
2011-02-01,2011,February,Tuesday,Spring,Partly Cloudy,1360,1313,47,0.192174
2011-02-02,2011,February,Wednesday,Spring,Partly Cloudy,1526,1454,72,0.26
2011-02-03,2011,February,Thursday,Spring,Clear,1550,1489,61,0.186957
2011-02-04,2011,February,Friday,Spring,Partly Cloudy,1708,1620,88,0.211304
2011-02-05,2011,February,Saturday,Spring,Partly Cloudy,1005,905,100,0.233333
2011-02-06,2011,February,Sunday,Spring,Clear,1623,1269,354,0.285833
2011-02-07,2011,February,Monday,Spring,Clear,1712,1592,120,0.271667
2011-02-08,2011,February,Tuesday,Spring,Clear,1530,1466,64,0.220833
2011-02-09,2011,February,Wednesday,Spring,Partly Cloudy,1605,1552,53,0.134783
2011-02-10,2011,February,Thursday,Spring,Clear,1538,1491,47,0.144348
2011-02-11,2011,February,Friday,Spring,Clear,1746,1597,149,0.189091
2011-02-12,2011,February,Saturday,Spring,Clear,1472,1184,288,0.2225
2011-02-13,2011,February,Sunday,Spring,Clear,1589,1192,397,0.316522
2011-02-14,2011,February,Monday,Spring,Clear,1913,1705,208,0.415
2011-02-15,2011,February,Tuesday,Spring,Clear,1815,1675,140,0.266087
2011-02-16,2011,February,Wednesday,Spring,Clear,2115,1897,218,0.318261
2011-02-17,2011,February,Thursday,Spring,Clear,2475,2216,259,0.435833
2011-02-18,2011,February,Friday,Spring,Clear,2927,2348,579,0.521667
2011-02-19,2011,February,Saturday,Spring,Clear,1635,1103,532,0.399167
2011-02-20,2011,February,Sunday,Spring,Clear,1812,1173,639,0.285217
2011-02-21,2011,February,Monday,Spring,Partly Cloudy,1107,912,195,0.303333
2011-02-22,2011,February,Tuesday,Spring,Clear,1450,1376,74,0.182222
2011-02-23,2011,February,Wednesday,Spring,Clear,1917,1778,139,0.221739
2011-02-24,2011,February,Thursday,Spring,Partly Cloudy,1807,1707,100,0.295652
2011-02-25,2011,February,Friday,Spring,Partly Cloudy,1461,1341,120,0.364348
2011-02-26,2011,February,Saturday,Spring,Clear,1969,1545,424,0.2825
2011-02-27,2011,February,Sunday,Spring,Clear,2402,1708,694,0.343478
2011-02-28,2011,February,Monday,Spring,Partly Cloudy,1446,1365,81,0.407273
2011-03-01,2011,March,Tuesday,Spring,Clear,1851,1714,137,0.266667
2011-03-02,2011,March,Wednesday,Spring,Clear,2134,1903,231,0.335
2011-03-03,2011,March,Thursday,Spring,Clear,1685,1562,123,0.198333
2011-03-04,2011,March,Friday,Spring,Partly Cloudy,1944,1730,214,0.261667
2011-03-05,2011,March,Saturday,Spring,Partly Cloudy,2077,1437,640,0.384167
2011-03-06,2011,March,Sunday,Spring,Partly Cloudy,605,491,114,0.376522
2011-03-07,2011,March,Monday,Spring,Clear,1872,1628,244,0.261739
2011-03-08,2011,March,Tuesday,Spring,Clear,2133,1817,316,0.2925
2011-03-09,2011,March,Wednesday,Spring,Partly Cloudy,1891,1700,191,0.295833
2011-03-10,2011,March,Thursday,Spring,Light Snow/Rain,623,577,46,0.389091
2011-03-11,2011,March,Friday,Spring,Partly Cloudy,1977,1730,247,0.316522
2011-03-12,2011,March,Saturday,Spring,Clear,2132,1408,724,0.329167
2011-03-13,2011,March,Sunday,Spring,Clear,2417,1435,982,0.384348
2011-03-14,2011,March,Monday,Spring,Clear,2046,1687,359,0.325217
2011-03-15,2011,March,Tuesday,Spring,Partly Cloudy,2056,1767,289,0.317391
2011-03-16,2011,March,Wednesday,Spring,Partly Cloudy,2192,1871,321,0.365217
2011-03-17,2011,March,Thursday,Spring,Clear,2744,2320,424,0.415
2011-03-18,2011,March,Friday,Spring,Clear,3239,2355,884,0.54
2011-03-19,2011,March,Saturday,Spring,Clear,3117,1693,1424,0.4725
2011-03-20,2011,March,Sunday,Spring,Clear,2471,1424,1047,0.3325
2011-03-21,2011,March,Monday,Summer,Partly Cloudy,2077,1676,401,0.430435
2011-03-22,2011,March,Tuesday,Summer,Clear,2703,2243,460,0.441667
2011-03-23,2011,March,Wednesday,Summer,Partly Cloudy,2121,1918,203,0.346957
2011-03-24,2011,March,Thursday,Summer,Partly Cloudy,1865,1699,166,0.285
2011-03-25,2011,March,Friday,Summer,Clear,2210,1910,300,0.264167
2011-03-26,2011,March,Saturday,Summer,Clear,2496,1515,981,0.265833
2011-03-27,2011,March,Sunday,Summer,Partly Cloudy,1693,1221,472,0.253043
2011-03-28,2011,March,Monday,Summer,Clear,2028,1806,222,0.264348
2011-03-29,2011,March,Tuesday,Summer,Clear,2425,2108,317,0.3025
2011-03-30,2011,March,Wednesday,Summer,Partly Cloudy,1536,1368,168,0.3
2011-03-31,2011,March,Thursday,Summer,Light Snow/Rain,1685,1506,179,0.268333
2011-04-01,2011,April,Friday,Summer,Partly Cloudy,2227,1920,307,0.3
2011-04-02,2011,April,Saturday,Summer,Partly Cloudy,2252,1354,898,0.315
2011-04-03,2011,April,Sunday,Summer,Clear,3249,1598,1651,0.378333
2011-04-04,2011,April,Monday,Summer,Clear,3115,2381,734,0.573333
2011-04-05,2011,April,Tuesday,Summer,Partly Cloudy,1795,1628,167,0.414167
2011-04-06,2011,April,Wednesday,Summer,Clear,2808,2395,413,0.390833
2011-04-07,2011,April,Thursday,Summer,Clear,3141,2570,571,0.4375
2011-04-08,2011,April,Friday,Summer,Partly Cloudy,1471,1299,172,0.335833
2011-04-09,2011,April,Saturday,Summer,Partly Cloudy,2455,1576,879,0.3425
2011-04-10,2011,April,Sunday,Summer,Partly Cloudy,2895,1707,1188,0.426667
2011-04-11,2011,April,Monday,Summer,Partly Cloudy,3348,2493,855,0.595652
2011-04-12,2011,April,Tuesday,Summer,Partly Cloudy,2034,1777,257,0.5025
2011-04-13,2011,April,Wednesday,Summer,Partly Cloudy,2162,1953,209,0.4125
2011-04-14,2011,April,Thursday,Summer,Clear,3267,2738,529,0.4675
2011-04-15,2011,April,Friday,Summer,Clear,3126,2484,642,0.446667
2011-04-16,2011,April,Saturday,Summer,Light Snow/Rain,795,674,121,0.430833
