dteday,year,month,hr,weekday,season,weather_description,cnt,registered,casual,temp
2011-01-01,2011,January,0,Saturday,Spring,Clear,16,13,3,0.24
2011-01-01,2011,January,1,Saturday,Spring,Clear,40,32,8,0.22
2011-01-01,2011,January,2,Saturday,Spring,Clear,32,27,5,0.22
2011-01-01,2011,January,3,Saturday,Spring,Clear,13,10,3,0.24
2011-01-01,2011,January,4,Saturday,Spring,Clear,1,1,0,0.24
2011-01-01,2011,January,5,Saturday,Spring,Partly Cloudy,1,1,0,0.24
2011-01-01,2011,January,6,Saturday,Spring,Clear,2,0,2,0.22
2011-01-01,2011,January,7,Saturday,Spring,Clear,3,2,1,0.2
2011-01-01,2011,January,8,Saturday,Spring,Clear,8,7,1,0.24
2011-01-01,2011,January,9,Saturday,Spring,Clear,14,6,8,0.32
2011-01-01,2011,January,10,Saturday,Spring,Clear,36,24,12,0.38
2011-01-01,2011,January,11,Saturday,Spring,Clear,56,30,26,0.36
2011-01-01,2011,January,12,Saturday,Spring,Clear,84,55,29,0.42
2011-01-01,2011,January,13,Saturday,Spring,Partly Cloudy,94,47,47,0.46
2011-01-01,2011,January,14,Saturday,Spring,Partly Cloudy,106,71,35,0.46
2011-01-01,2011,January,15,Saturday,Spring,Partly Cloudy,110,70,40,0.44
2011-01-01,2011,January,16,Saturday,Spring,Partly Cloudy,93,52,41,0.42
2011-01-01,2011,January,17,Saturday,Spring,Partly Cloudy,67,52,15,0.44
2011-01-01,2011,January,18,Saturday,Spring,Light Snow/Rain,35,26,9,0.42
2011-01-01,2011,January,19,Saturday,Spring,Light Snow/Rain,37,31,6,0.42
2011-01-01,2011,January,20,Saturday,Spring,Partly Cloudy,36,25,11,0.4
2011-01-01,2011,January,21,Saturday,Spring,Partly Cloudy,34,31,3,0.4
2011-01-01,2011,January,22,Saturday,Spring,Partly Cloudy,28,17,11,0.4
2011-01-01,2011,January,23,Saturday,Spring,Partly Cloudy,39,24,15,0.46
2011-01-02,2011,January,0,Sunday,Spring,Partly Cloudy,17,13,4,0.46
2011-01-02,2011,January,1,Sunday,Spring,Partly Cloudy,17,16,1,0.44
2011-01-02,2011,January,2,Sunday,Spring,Partly Cloudy,9,8,1,0.42
2011-01-02,2011,January,3,Sunday,Spring,Partly Cloudy,6,4,2,0.46
2011-01-02,2011,January,4,Sunday,Spring,Partly Cloudy,3,1,2,0.46
2011-01-02,2011,January,6,Sunday,Spring,Light Snow/Rain,2,2,0,0.42
2011-01-02,2011,January,7,Sunday,Spring,Partly Cloudy,1,1,0,0.4
2011-01-02,2011,January,8,Sunday,Spring,Light Snow/Rain,8,8,0,0.4
2011-01-02,2011,January,9,Sunday,Spring,Partly Cloudy,20,19,1,0.38
2011-01-02,2011,January,10,Sunday,Spring,Partly Cloudy,53,46,7,0.36
2011-01-02,2011,January,11,Sunday,Spring,Partly Cloudy,70,54,16,0.36
2011-01-02,2011,January,12,Sunday,Spring,Partly Cloudy,93,73,20,0.36
2011-01-02,2011,January,13,Sunday,Spring,Partly Cloudy,75,64,11,0.36
2011-01-02,2011,January,14,Sunday,Spring,Light Snow/Rain,59,55,4,0.36
2011-01-02,2011,January,15,Sunday,Spring,Light Snow/Rain,74,55,19,0.34
2011-01-02,2011,January,16,Sunday,Spring,Light Snow/Rain,76,67,9,0.34
2011-01-02,2011,January,17,Sunday,Spring,Clear,65,58,7,0.34
2011-01-02,2011,January,18,Sunday,Spring,Partly Cloudy,53,43,10,0.36
2011-01-02,2011,January,19,Sunday,Spring,Clear,30,29,1,0.32
2011-01-02,2011,January,20,Sunday,Spring,Clear,22,17,5,0.3
2011-01-02,2011,January,21,Sunday,Spring,Clear,31,20,11,0.26
2011-01-02,2011,January,22,Sunday,Spring,Clear,9,9,0,0.24
2011-01-02,2011,January,23,Sunday,Spring,Clear,8,8,0,0.22
2011-01-03,2011,January,0,Monday,Spring,Clear,5,5,0,0.22
2011-01-03,2011,January,1,Monday,Spring,Clear,2,2,0,0.2
2011-01-03,2011,January,4,Monday,Spring,Clear,1,1,0,0.16
2011-01-03,2011,January,5,Monday,Spring,Clear,3,3,0,0.16
2011-01-03,2011,January,6,Monday,Spring,Clear,30,30,0,0.14
2011-01-03,2011,January,7,Monday,Spring,Clear,64,63,1,0.14
2011-01-03,2011,January,8,Monday,Spring,Clear,154,153,1,0.14
2011-01-03,2011,January,9,Monday,Spring,Clear,88,81,7,0.16
2011-01-03,2011,January,10,Monday,Spring,Clear,44,33,11,0.18
2011-01-03,2011,January,11,Monday,Spring,Clear,51,41,10,0.2
2011-01-03,2011,January,12,Monday,Spring,Clear,61,48,13,0.22
2011-01-03,2011,January,13,Monday,Spring,Clear,61,53,8,0.24
2011-01-03,2011,January,14,Monday,Spring,Clear,77,66,11,0.26
2011-01-03,2011,January,15,Monday,Spring,Clear,72,58,14,0.26
2011-01-03,2011,January,16,Monday,Spring,Clear,76,67,9,0.26
2011-01-03,2011,January,17,Monday,Spring,Clear,157,146,11,0.24
2011-01-03,2011,January,18,Monday,Spring,Clear,157,148,9,0.24
2011-01-03,2011,January,19,Monday,Spring,Clear,110,102,8,0.2
2011-01-03,2011,January,20,Monday,Spring,Clear,52,49,3,0.2
2011-01-03,2011,January,21,Monday,Spring,Clear,52,49,3,0.18
2011-01-03,2011,January,22,Monday,Spring,Clear,20,20,0,0.14
2011-01-03,2011,January,23,Monday,Spring,Clear,12,11,1,0.18
2011-01-04,2011,January,0,Tuesday,Spring,Clear,5,5,0,0.16
2011-01-04,2011,January,1,Tuesday,Spring,Clear,2,2,0,0.16
2011-01-04,2011,January,2,Tuesday,Spring,Clear,1,1,0,0.14
2011-01-04,2011,January,4,Tuesday,Spring,Clear,2,2,0,0.14
2011-01-04,2011,January,5,Tuesday,Spring,Clear,4,4,0,0.12
2011-01-04,2011,January,6,Tuesday,Spring,Clear,36,36,0,0.12
2011-01-04,2011,January,7,Tuesday,Spring,Clear,94,92,2,0.12
2011-01-04,2011,January,8,Tuesday,Spring,Clear,179,177,2,0.14
2011-01-04,2011,January,9,Tuesday,Spring,Clear,100,98,2,0.16
2011-01-04,2011,January,10,Tuesday,Spring,Partly Cloudy,42,37,5,0.16
2011-01-04,2011,January,11,Tuesday,Spring,Clear,57,50,7,0.22
2011-01-04,2011,January,12,Tuesday,Spring,Clear,78,66,12,0.22
2011-01-04,2011,January,13,Tuesday,Spring,Clear,97,79,18,0.24
2011-01-04,2011,January,14,Tuesday,Spring,Clear,63,54,9,0.26
2011-01-04,2011,January,15,Tuesday,Spring,Clear,65,48,17,0.28
2011-01-04,2011,January,16,Tuesday,Spring,Clear,83,68,15,0.3
2011-01-04,2011,January,17,Tuesday,Spring,Clear,212,202,10,0.28
2011-01-04,2011,January,18,Tuesday,Spring,Clear,182,179,3,0.26
2011-01-04,2011,January,19,Tuesday,Spring,Clear,112,110,2,0.24
2011-01-04,2011,January,20,Tuesday,Spring,Clear,54,53,1,0.24
2011-01-04,2011,January,21,Tuesday,Spring,Clear,48,48,0,0.22
2011-01-04,2011,January,22,Tuesday,Spring,Clear,35,34,1,0.22
2011-01-04,2011,January,23,Tuesday,Spring,Clear,11,9,2,0.2
2011-01-05,2011,January,0,Wednesday,Spring,Clear,6,6,0,0.2
2011-01-05,2011,January,1,Wednesday,Spring,Clear,6,6,0,0.16
